number	category	file	line	code
3	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/impact.py	650	return 3, ["Code is in module export file - higher breakage risk"]
4	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/impact.py	660	"max_score": 4,
5	slice_or_top_n_limit	src/ast_grep_mcp/features/quality/orphan_detector.py	430	orphan.importers = references[:5]  # Store top 5
5	slice_or_top_n_limit	src/ast_grep_mcp/features/quality/orphan_detector.py	430	orphan.importers = references[:5]  # Store top 5
0.95	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	37	"no-console-log": {"confidence": 0.95, "reason": "console.log removal is usually safe"},
0.95	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	47	"no-mutable-defaults": {"confidence": 0.95, "reason": "Mutable default fix is usually safe"},
0.6	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	54	"no-eval-exec": {"confidence": 0.6, "reason": "eval/exec removal may break functionality"},
0.7	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	55	"no-sql-injection": {"confidence": 0.7, "reason": "SQL parameterization needs careful review"},
0.75	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	56	"no-empty-catch": {"confidence": 0.75, "reason": "Empty catch replacement may change behavior"},
0.7	confidence_score	src/ast_grep_mcp/features/quality/fixer.py	57	"proper-exception-handling": {"confidence": 0.7, "reason": "Exception handling changes need review"},
5.0	other	src/ast_grep_mcp/features/condense/dictionary.py	164	return 5.0   # Too few samples for reliable training
50	other	src/ast_grep_mcp/features/condense/dictionary.py	165	if samples_used < 50:
10.0	other	src/ast_grep_mcp/features/condense/dictionary.py	166	return 10.0  # Moderate sample set
15.0	other	src/ast_grep_mcp/features/condense/dictionary.py	167	return 15.0      # Full benefit for large, diverse sample sets
3	slice_or_top_n_limit	src/ast_grep_mcp/features/cross_language/pattern_equivalence.py	156	if category_patterns[:3]:
3	other	src/ast_grep_mcp/features/cross_language/pattern_equivalence.py	160	if not category and len(found_patterns) < 3:
5	slice_or_top_n_limit	src/ast_grep_mcp/features/cross_language/pattern_equivalence.py	163	return suggestions[:5]  # Limit suggestions
3	other	src/ast_grep_mcp/features/cross_language/pattern_equivalence.py	253	if len(category_examples[category]) < 3:
3	severity_ranking	src/ast_grep_mcp/features/quality/smells_helpers.py	164	smells.sort(key=lambda s: (severity_order.get(s.get("severity", "low"), 3), s.get("type", "")))
3	regex_capture_group_index	src/ast_grep_mcp/features/documentation/changelog_generator.py	211	result["is_breaking"] = bool(match.group(3))
3	threshold_or_cutoff	tests/scripts/detect_fixture_patterns.py	57	def __init__(self, root: Path, threshold: int = 3):
3	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	104	fixture_value_score=9.0 if files_count >= 3 else 5.0,
5.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	104	fixture_value_score=9.0 if files_count >= 3 else 5.0,
3	benchmark_or_test_fixture_data	tests/scripts/detect_fixture_patterns.py	138	end = min(len(lines), i + 3)
3	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	151	fixture_value_score=8.0 if files_count >= 3 else 4.0,
4.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	151	fixture_value_score=8.0 if files_count >= 3 else 4.0,
5	benchmark_or_test_fixture_data	tests/scripts/detect_fixture_patterns.py	181	end = min(len(lines), i + 5)
3	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	194	fixture_value_score=9.0 if files_count >= 3 else 6.0,
6.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	194	fixture_value_score=9.0 if files_count >= 3 else 6.0,
3	benchmark_or_test_fixture_data	tests/scripts/detect_fixture_patterns.py	222	end = min(len(lines), i + 3)
3	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	235	fixture_value_score=8.0 if files_count >= 3 else 5.0,
5.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	235	fixture_value_score=8.0 if files_count >= 3 else 5.0,
5	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	295	fixture_value_score=7.0 if most_common[1] >= 5 else 4.0,
4.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	295	fixture_value_score=7.0 if most_common[1] >= 5 else 4.0,
20	slice_or_top_n_limit	tests/scripts/detect_fixture_patterns.py	296	occurrences_list=occurrences[:20],  # Limit to first 20
20	slice_or_top_n_limit	tests/scripts/detect_fixture_patterns.py	296	occurrences_list=occurrences[:20],  # Limit to first 20
7.0	score_formula_or_cap	tests/scripts/detect_fixture_patterns.py	363	status = "RECOMMEND FIXTURE" if pattern.fixture_value_score >= 7.0 else "Consider"
5	slice_or_top_n_limit	tests/scripts/detect_fixture_patterns.py	395	for occ in pattern.occurrences_list[:5]:
20	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	83	"instances": [{"file": "a.py", "line": 10}, {"file": "b.py", "line": 20}, {"file": "a.py", "line": 50}],
50	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	83	"instances": [{"file": "a.py", "line": 10}, {"file": "b.py", "line": 20}, {"file": "a.py", "line": 50}],
50	lines_saved_metric	src/ast_grep_mcp/features/deduplication/benchmark.py	90	"potential_line_savings": 50,
5	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	115	"affected_files": (i % 5) + 1,
85.0	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	134	(85.0, 3, 100, True, 3),
3	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	134	(85.0, 3, 100, True, 3),
3	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	134	(85.0, 3, 100, True, 3),
45.0	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	135	(45.0, 7, 20, False, 8),
7	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	135	(45.0, 7, 20, False, 8),
20	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	135	(45.0, 7, 20, False, 8),
8	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	135	(45.0, 7, 20, False, 8),
25.0	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	136	(25.0, 9, 5, False, 15),
9	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	136	(25.0, 9, 5, False, 15),
5	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	136	(25.0, 9, 5, False, 15),
15	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	136	(25.0, 9, 5, False, 15),
85.0	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	161	"similarity": 85.0 + i,
5	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	193	results.append(self.benchmark_pattern_analysis(iterations * 5))
5	benchmark_or_test_fixture_data	src/ast_grep_mcp/features/deduplication/benchmark.py	196	results.append(self.benchmark_code_generation(iterations * 5))
0.10	threshold_or_cutoff	src/ast_grep_mcp/features/deduplication/benchmark.py	368	threshold = self.thresholds.get(name, 0.10)
100.0	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/reporting.py	308	"similarity_score": candidate.get("similarity", 100.0),
100.0	threshold_or_cutoff	tests/scripts/benchmark_fixtures.py	46	self.threshold_ms = 100.0  # 100ms threshold
5	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	48	def benchmark_fixture(self, fixture_name: str, iterations: int = 5) -> Optional[FixtureBenchmark]:
3	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	95	per_test_overhead = avg_time / 3
0.6	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	103	avg_setup_time=per_test_overhead * 0.6,  # Estimate 60% setup
60	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	103	avg_setup_time=per_test_overhead * 0.6,  # Estimate 60% setup
0.4	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	104	avg_teardown_time=per_test_overhead * 0.4,  # Estimate 40% teardown
40	benchmark_or_test_fixture_data	tests/scripts/benchmark_fixtures.py	104	avg_teardown_time=per_test_overhead * 0.4,  # Estimate 40% teardown
3	regex_capture_group_index	src/ast_grep_mcp/utils/formatters.py	426	context = match.group(3).strip()
42	other	src/ast_grep_mcp/features/schema/client.py	161	"Number": lambda: 42,
42	other	src/ast_grep_mcp/features/schema/client.py	162	"Integer": lambda: 42,
5	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/analyzer.py	287	"parameter_suggestions": param_suggestions[:5],  # Top 5 suggestions
5	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/analyzer.py	287	"parameter_suggestions": param_suggestions[:5],  # Top 5 suggestions
3	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	449	return 3, "Minor expression variation"
4	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	451	return 4, "Different operations or function calls"
4	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	452	return 4, "Significant expression restructuring"
4	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	457	return 4, "Simple type substitution"
5	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	459	return 5, "Generic type variation"
6	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	460	return 6, "Complex type system changes"
7	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	465	return 7, "Added or removed logic branches"
7	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	467	return 7, "Significant control flow differences"
5	scoring_code_with_reason	src/ast_grep_mcp/features/deduplication/analyzer.py	468	return 5, "Conditional logic variation"
4	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/analyzer.py	474	if score <= 4:
3	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/analyzer.py	502	score, reasoning = 3, "Unknown variation type"
20	numeric_operation_window_or_ratio	src/ast_grep_mcp/features/deduplication/analyzer.py	1188	start = max(0, match.start() - 20)
20	numeric_operation_window_or_ratio	src/ast_grep_mcp/features/deduplication/analyzer.py	1189	end = min(len(code), match.end() + 20)
15	slice_or_top_n_limit	scripts/migrate_prints_smart.py	234	for change in changes[:15]:
5	slice_or_top_n_limit	scripts/migrate_prints_smart.py	254	for path, info in sorted(results["files"].items(), key=lambda x: x[1]["migrations"], reverse=True)[:5]:
3	slice_or_top_n_limit	scripts/migrate_prints_smart.py	256	for change in info["changes"][:3]:
50	slice_or_top_n_limit	src/ast_grep_mcp/features/complexity/analyzer.py	346	return magic_numbers[:50]
3	regex_capture_group_index	src/ast_grep_mcp/features/search/service.py	1124	return cst_match.group(1) or cst_match.group(2) or cst_match.group(3)
5	slice_or_top_n_limit	src/ast_grep_mcp/features/search/service.py	1204	matches=matches[:5],  # Limit to first 5 matches for debugging
5	slice_or_top_n_limit	src/ast_grep_mcp/features/search/service.py	1204	matches=matches[:5],  # Limit to first 5 matches for debugging
50	slice_or_top_n_limit	src/ast_grep_mcp/features/search/service.py	1937	pattern=f'dump_syntax_tree(code="{code[:50]}...", language="{language}", format="cst")',
4	other	scripts/list_complexity_violations.py	40	func_name = stripped[4:].split("(")[0].strip()
30	other	src/ast_grep_mcp/features/cross_language/pattern_database.py	292	"code": 'let person: HashMap<&str, &str> = HashMap::from([\n    ("name", "Alice"),\n    ("age", "30"),\n]);',
3	other	src/ast_grep_mcp/features/cross_language/language_converter.py	157	(r'"(.+)"\s*\+\s*(\w+)\s*\+\s*"(.+)"', r'"$\1$\2$\3"', "string_concat"),
3	other	src/ast_grep_mcp/features/deduplication/similarity.py	1577	return 3
4	other	src/ast_grep_mcp/features/deduplication/similarity.py	1579	return 4
5	other	src/ast_grep_mcp/features/deduplication/similarity.py	1581	return 5
6	other	src/ast_grep_mcp/features/deduplication/similarity.py	1583	return 6
2.0	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/similarity.py	1969	semantic_score = (embedding_cosine + 1.0) / 2.0
5	slice_or_top_n_limit	scripts/migrate_print_to_logger.py	404	for change in file_results["changes"][:5]:  # Show first 5
5	slice_or_top_n_limit	scripts/migrate_print_to_logger.py	404	for change in file_results["changes"][:5]:  # Show first 5
5	other	scripts/migrate_print_to_logger.py	406	if len(file_results["changes"]) > 5:
0.85	other	src/ast_grep_mcp/features/condense/strategies.py	11	"ai_chat": 0.85,       # Signatures + types + docstrings only (lossy)
0.40	other	src/ast_grep_mcp/features/condense/strategies.py	12	"ai_analysis": 0.40,   # Full source minus dead code (lossless)
0.30	other	src/ast_grep_mcp/features/condense/strategies.py	13	"archival": 0.30,       # Normalized, deduplicated (lossless)
0.65	other	src/ast_grep_mcp/features/condense/strategies.py	14	"polyglot": 0.65,       # Per-language optimal selection
3	severity_ranking	src/ast_grep_mcp/features/documentation/sync_checker.py	551	all_issues.sort(key=lambda i: (severity_order.get(i.severity, 3), i.file_path, i.line_number))
5	other	src/ast_grep_mcp/features/cross_language/multi_language_search.py	305	with ThreadPoolExecutor(max_workers=min(len(languages), 5)) as executor:
5	slice_or_top_n_limit	src/ast_grep_mcp/features/schema/enhancement_service.py	168	return any(_is_schema_org_data(item) for item in data[:5])  # Check first 5
5	slice_or_top_n_limit	src/ast_grep_mcp/features/schema/enhancement_service.py	168	return any(_is_schema_org_data(item) for item in data[:5])  # Check first 5
3	other	src/ast_grep_mcp/features/schema/enhancement_service.py	297	EnhancementPriority.LOW: 3,
3	other	src/ast_grep_mcp/features/schema/enhancement_service.py	446	EnhancementPriority.LOW: 3,
100.0	score_formula_or_cap	src/ast_grep_mcp/features/schema/enhancement_service.py	518	return max(0.0, min(100.0, score))
100.0	score_formula_or_cap	src/ast_grep_mcp/features/schema/enhancement_service.py	542	return max(0.0, min(100.0, overall_score))
3	other	src/ast_grep_mcp/features/schema/enhancement_service.py	803	if len(parts) >= 3:
5	threshold_or_cutoff	src/ast_grep_mcp/features/deduplication/tools.py	38	min_lines: int = 5,
5	threshold_or_cutoff	src/ast_grep_mcp/features/deduplication/tools.py	83	min_lines: int = 5,
1.2	threshold_or_cutoff	tests/scripts/validate_refactoring.py	183	threshold = baseline_duration * 1.2
50	lines_saved_metric	scripts/benchmark_batch_coverage.py	63	"lines_saved": 50,
60	benchmark_or_test_fixture_data	scripts/benchmark_batch_coverage.py	273	if improvement >= 60:
40	benchmark_or_test_fixture_data	scripts/benchmark_batch_coverage.py	275	elif improvement >= 40:
300	other	src/ast_grep_mcp/core/config.py	21	CACHE_TTL: int = CacheDefaults.CLEANUP_INTERVAL_SECONDS  # Actually 300 seconds, reused for TTL
50	lines_saved_metric	scripts/benchmark_parallel_enrichment.py	19	"lines_saved": 50,
75.5	score_formula_or_cap	scripts/benchmark_parallel_enrichment.py	20	"score": 75.5,
8	score_formula_or_cap	scripts/benchmark_parallel_enrichment.py	21	"complexity_score": 8,
25	benchmark_or_test_fixture_data	scripts/benchmark_parallel_enrichment.py	35	candidate_counts = [10, 25, 50, 100]
50	benchmark_or_test_fixture_data	scripts/benchmark_parallel_enrichment.py	35	candidate_counts = [10, 25, 50, 100]
3	slice_or_top_n_limit	scripts/analyze_analyticsbot.py	54	for i, func in enumerate(functions[:3], 1):
5	slice_or_top_n_limit	scripts/analyze_analyticsbot.py	118	for issue_type, count in sorted(by_type.items(), key=lambda x: x[1], reverse=True)[:5]:
5	threshold_or_cutoff	src/ast_grep_mcp/features/deduplication/detector.py	89	min_lines: int = 5,
200	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/detector.py	612	"code_preview": match.get("text", "")[:DisplayDefaults.ERROR_OUTPUT_PREVIEW_LENGTH],  # First 200 chars
3	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/detector.py	619	"similarity_score": round(self.calculate_similarity(group[0].get("text", ""), group[1].get("text", "")), 3)
5	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/generator.py	520	return list(set(dependencies))[:5]  # Limit to top 5
5	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/generator.py	520	return list(set(dependencies))[:5]  # Limit to top 5
3	regex_capture_group_index	src/ast_grep_mcp/features/deduplication/generator.py	657	content = match.group(3)
